,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN,EEG,task
417,0.29084,0.12853,12.31067,1.13675,1,0.63539,0.11170,11.72833,1.13675,1,-0.03758,0.04151,0.64264,0.00349,1,0.02498,0.04441,0.65980,0.00391,1,0,0.00000,36,29,scary
418,0.29060,0.12851,12.00900,1.13675,1,0.63444,0.11309,12.42323,1.13675,1,-0.03688,0.04061,0.62958,0.00364,1,0.02498,0.04441,0.65980,0.00363,1,0,0.00000,36,32,scary
419,0.29073,0.12885,11.93885,1.12696,1,0.63488,0.11240,12.05794,1.12696,1,-0.03688,0.04061,0.62958,0.00359,1,0.02498,0.04441,0.65980,0.00381,1,0,0.00000,36,33,scary
420,0.29077,0.12532,12.15355,1.10948,1,0.63461,0.10991,12.39547,1.09199,1,-0.03818,0.04223,0.65283,0.00381,1,0.02304,0.04133,0.61145,0.00366,1,0,0.00000,36,83,scary
421,0.29107,0.12613,12.76686,1.10178,1,0.63432,0.11041,12.10129,1.08429,1,-0.03818,0.04223,0.65283,0.00385,1,0.02304,0.04133,0.61145,0.00393,1,0,0.00000,36,26,scary
422,0.29040,0.12628,12.08498,1.09408,1,0.63362,0.11005,11.76497,1.09408,1,-0.03840,0.04220,0.65235,0.00375,1,0.02429,0.04386,0.64797,0.00423,1,0,0.00000,36,32,scary
423,0.29010,0.12651,12.57227,1.09408,1,0.63409,0.11019,11.49714,1.11157,1,-0.03840,0.04220,0.65235,0.00369,1,0.02429,0.04386,0.64797,0.00393,1,0,0.00000,36,6,scary
424,0.29012,0.12643,12.74930,1.11157,1,0.63416,0.11008,11.50915,1.12905,1,-0.03840,0.04220,0.65235,0.00367,1,0.02429,0.04386,0.64797,0.00394,1,0,0.00000,36,45,scary
425,0.28956,0.12580,12.35222,1.12905,1,0.63335,0.10986,11.99030,1.14654,1,-0.03840,0.04220,0.65235,0.00375,1,0.02429,0.04386,0.64797,0.00401,1,0,0.00000,36,34,scary
426,0.28938,0.12676,12.04083,1.14654,1,0.63340,0.10905,11.95331,1.14654,1,-0.03840,0.04220,0.65235,0.00378,1,0.02429,0.04386,0.64797,0.00387,1,0,0.00000,36,34,scary
427,0.28929,0.12651,12.02017,1.14654,1,0.63333,0.10888,12.08547,1.14654,1,-0.03840,0.04220,0.65235,0.00383,1,0.02429,0.04386,0.64797,0.00388,1,0,0.00000,36,34,scary
428,0.28898,0.12653,11.94493,1.14654,1,0.63294,0.10966,12.55648,1.14654,1,-0.03828,0.04180,0.64621,0.00373,1,0.02399,0.04376,0.64645,0.00397,1,0,0.00000,36,28,scary
429,0.28890,0.12665,12.40359,1.14654,1,0.63298,0.10948,11.89814,1.14654,1,-0.03828,0.04180,0.64621,0.00365,1,0.02399,0.04376,0.64645,0.00397,1,0,0.00000,36,28,scary
430,0.28872,0.12668,12.67738,1.14654,1,0.63266,0.10987,12.15185,1.14654,1,-0.03828,0.04180,0.64621,0.00363,1,0.02399,0.04376,0.64645,0.00401,1,0,0.00000,36,12,scary
431,0.28859,0.12666,12.82242,1.14654,1,0.63270,0.10933,11.87621,1.14654,1,-0.03828,0.04180,0.64621,0.00363,1,0.02399,0.04376,0.64645,0.00407,1,0,0.00000,36,23,scary
432,0.28868,0.12662,12.62826,1.14654,1,0.63252,0.10879,11.65394,1.14654,1,-0.03828,0.04180,0.64621,0.00365,1,0.02399,0.04376,0.64645,0.00404,1,0,0.00000,36,93,scary
433,0.28861,0.12661,12.72504,1.14654,1,0.63267,0.10828,12.17105,1.14654,1,-0.03828,0.04180,0.64621,0.00365,1,0.02399,0.04376,0.64645,0.00408,1,0,0.00000,36,57,scary
434,0.28867,0.12646,12.55728,1.14654,1,0.63279,0.10898,12.47356,1.14654,1,-0.03828,0.04180,0.64621,0.00367,1,0.02399,0.04376,0.64645,0.00418,1,0,0.00000,36,57,scary
435,0.28871,0.12626,11.34732,1.14654,1,0.63273,0.10895,11.87178,1.14654,1,-0.03828,0.04180,0.64621,0.00367,1,0.02399,0.04376,0.64645,0.00391,1,0,0.00000,36,51,scary
436,0.28904,0.12545,8.59370,1.14654,1,0.63018,0.10975,11.68686,1.14654,1,-0.03828,0.04180,0.64621,0.00384,1,0.02399,0.04376,0.64645,0.00380,1,0,0.00000,36,51,scary
437,0.28904,0.12545,8.59370,1.14654,0,0.63018,0.10975,11.68686,1.14654,0,-0.03828,0.04180,0.64621,0.00384,1,0.02399,0.04376,0.64645,0.00380,1,0,0.00000,36,52,scary
438,0.28904,0.12545,8.59370,1.14654,0,0.63018,0.10975,11.68686,1.14654,0,-0.03828,0.04180,0.64621,0.00384,1,0.02399,0.04376,0.64645,0.00380,1,0,0.00000,36,500,scary
439,0.28904,0.12545,8.59370,1.14654,0,0.63018,0.10975,11.68686,1.14654,0,-0.03828,0.04180,0.64621,0.00384,1,0.02399,0.04376,0.64645,0.00380,1,1,0.00000,36,500,scary
440,0.28904,0.12545,8.59370,1.14654,0,0.63018,0.10975,11.68686,1.14654,0,-0.03828,0.04180,0.64621,0.00384,1,0.02399,0.04376,0.64645,0.00380,1,1,0.00000,36,45,scary
441,0.28904,0.12545,8.59370,1.14654,0,0.63018,0.10975,11.68686,1.14654,0,-0.03828,0.04180,0.64621,0.00384,1,0.02399,0.04376,0.64645,0.00380,1,1,0.00000,36,45,scary
442,0.28904,0.12545,8.59370,1.14654,0,0.63018,0.10975,11.68686,1.14654,0,-0.03828,0.04180,0.64621,0.00384,1,0.02399,0.04376,0.64645,0.00380,1,1,0.00000,36,45,scary
443,0.63074,0.10795,11.94351,1.14654,1,0.63018,0.10975,11.68686,1.14654,0,-0.03828,0.04180,0.64621,0.00386,1,0.02399,0.04376,0.64645,0.00380,1,0,0.22211,37,45,scary
444,0.28614,0.12805,11.58106,1.14654,1,0.63052,0.10992,12.26824,1.14654,1,-0.03891,0.04210,0.65273,0.00376,1,0.02386,0.04396,0.64938,0.00358,1,0,0.00000,37,45,scary
445,0.28640,0.12857,11.58409,1.14654,1,0.63048,0.11104,12.30930,1.14654,1,-0.03891,0.04210,0.65273,0.00346,1,0.02386,0.04396,0.64938,0.00384,1,0,0.00000,37,67,scary
446,0.28670,0.12873,11.75664,1.14654,1,0.63088,0.11113,12.32242,1.14654,1,-0.03891,0.04210,0.65273,0.00359,1,0.02386,0.04396,0.64938,0.00369,1,0,0.00000,37,67,scary
447,0.28649,0.12932,11.62144,1.14654,1,0.63054,0.11131,12.28080,1.14654,1,-0.03891,0.04198,0.65273,0.00368,1,0.02386,0.04383,0.64938,0.00359,1,0,0.00000,37,140,scary
448,0.28649,0.12932,11.62144,1.14654,1,0.63087,0.11139,12.30802,1.14654,1,-0.03891,0.04198,0.65273,0.00368,1,0.02386,0.04383,0.64938,0.00350,1,0,0.00000,37,108,scary
449,0.28630,0.12974,11.61052,1.14654,1,0.63073,0.11152,12.42319,1.14654,1,-0.03891,0.04198,0.65273,0.00352,1,0.02386,0.04383,0.64938,0.00365,1,0,0.00000,37,101,scary
450,0.28654,0.12937,11.89491,1.14654,1,0.63082,0.11133,12.09935,1.14654,1,-0.03891,0.04198,0.65273,0.00365,1,0.02386,0.04383,0.64938,0.00373,1,0,0.00000,37,45,scary
451,0.28637,0.12949,11.52032,1.14654,1,0.63079,0.11134,12.01984,1.14654,1,-0.03891,0.04198,0.65273,0.00354,1,0.02386,0.04383,0.64938,0.00374,1,0,0.00000,37,42,scary
452,0.28674,0.12937,11.90852,1.14654,1,0.63107,0.11144,11.76335,1.14654,1,-0.03891,0.04198,0.65273,0.00354,1,0.02386,0.04383,0.64938,0.00376,1,0,0.00000,37,19,scary
453,0.28684,0.12908,11.90433,1.13675,1,0.63138,0.11138,11.35618,1.12742,1,-0.03728,0.04028,0.62635,0.00360,1,0.02302,0.04197,0.62184,0.00372,1,0,0.00000,37,67,scary
454,0.28687,0.12938,12.05122,1.11764,1,0.63141,0.11134,11.36629,1.10831,1,-0.03728,0.04028,0.62635,0.00350,1,0.02302,0.04197,0.62184,0.00368,1,0,0.00000,37,48,scary
455,0.28742,0.12909,11.84407,1.09852,1,0.63141,0.11134,11.36629,1.08920,1,-0.03728,0.04028,0.62635,0.00365,1,0.02302,0.04197,0.62184,0.00368,1,0,0.00000,37,20,scary
456,0.28745,0.12907,11.88209,1.07941,1,0.63175,0.11205,12.85600,1.07941,1,-0.03738,0.04052,0.63013,0.00365,1,0.02399,0.04364,0.64645,0.00361,1,0,0.00000,37,20,scary
457,0.28749,0.12899,11.85205,1.07941,1,0.63178,0.11217,12.74604,1.08873,1,-0.03738,0.04052,0.63013,0.00363,1,0.02399,0.04364,0.64645,0.00358,1,0,0.00000,37,57,scary
458,0.28751,0.12896,11.82200,1.08873,1,0.63175,0.11200,12.74220,1.09806,1,-0.03738,0.04052,0.63013,0.00368,1,0.02399,0.04364,0.64645,0.00362,1,0,0.00000,37,57,scary
459,0.28744,0.12955,11.78542,1.10785,1,0.63160,0.11194,12.55278,1.11717,1,-0.03828,0.04156,0.64621,0.00340,1,0.02432,0.04416,0.65513,0.00362,1,0,0.00000,37,55,scary
460,0.28744,0.12955,11.71896,1.12696,1,0.63188,0.11156,12.18502,1.12696,1,-0.03828,0.04156,0.64621,0.00338,1,0.02432,0.04416,0.65513,0.00355,1,0,0.00000,37,81,scary
461,0.28784,0.13021,11.98407,1.13675,1,0.63190,0.11251,12.35894,1.13675,1,-0.03828,0.04156,0.64621,0.00370,1,0.02432,0.04416,0.65513,0.00378,1,0,0.00000,37,55,scary
462,0.28751,0.13023,11.81210,1.14654,1,0.63205,0.11263,12.65111,1.14654,1,-0.03788,0.04106,0.63944,0.00360,1,0.02399,0.04351,0.64645,0.00367,1,0,0.00000,37,64,scary
463,0.28798,0.13073,12.07981,1.14654,1,0.63214,0.11303,12.35103,1.14654,1,-0.03788,0.04106,0.63944,0.00358,1,0.02399,0.04351,0.64645,0.00370,1,0,0.00000,37,45,scary
464,0.28798,0.13073,12.07981,1.14654,1,0.63177,0.11302,13.09426,1.14654,1,-0.03788,0.04106,0.63944,0.00358,1,0.02399,0.04351,0.64645,0.00370,1,0,0.00000,37,60,scary
465,0.28785,0.13078,12.02471,1.13675,1,0.63192,0.11299,12.66871,1.13675,1,-0.03738,0.04041,0.63013,0.00360,1,0.02399,0.04351,0.64645,0.00374,1,0,0.00000,37,60,scary
466,0.28775,0.13027,11.92580,1.12696,1,0.63210,0.11277,12.30045,1.12696,1,-0.03738,0.04041,0.63013,0.00379,1,0.02399,0.04351,0.64645,0.00373,1,0,0.00000,37,60,scary
467,0.28787,0.13094,12.51301,1.11717,1,0.63218,0.11295,12.48501,1.11717,1,-0.03738,0.04041,0.63013,0.00354,1,0.02399,0.04351,0.64645,0.00372,1,0,0.00000,37,56,scary
468,0.28787,0.13092,12.35241,1.11717,1,0.63230,0.11281,12.52506,1.11717,1,-0.03788,0.04106,0.63944,0.00354,1,0.02399,0.04351,0.64645,0.00373,1,0,0.00000,37,65,scary
469,0.28786,0.13025,11.85612,1.12696,1,0.63253,0.11247,12.45789,1.12696,1,-0.03788,0.04106,0.63944,0.00360,1,0.02399,0.04351,0.64645,0.00367,1,0,0.00000,37,65,scary
470,0.28786,0.13025,11.85612,1.13675,1,0.63228,0.11269,12.64419,1.13675,1,-0.03788,0.04106,0.63944,0.00361,1,0.02399,0.04351,0.64645,0.00370,1,0,0.00000,37,24,scary
471,0.28818,0.13066,12.08036,1.14654,1,0.63305,0.11211,12.67608,1.13721,1,-0.03788,0.04106,0.63944,0.00354,1,0.02331,0.04218,0.62656,0.00376,1,0,0.00000,37,80,scary
472,0.28798,0.12995,12.16762,1.13721,1,0.63300,0.11191,13.10179,1.12789,1,-0.03788,0.04106,0.63944,0.00363,1,0.02331,0.04218,0.62656,0.00357,1,0,0.00000,37,83,scary
