,TIME,USER
567,64.70739,45
568,64.72386,45
569,64.74025,45
570,64.75669,45
571,64.77310,45
572,64.78940,45
573,64.80589,45
574,64.82246,45
575,64.83872,45
576,64.85533,45
577,64.87160,45
578,64.88814,45
579,64.90447,45
580,64.96312,45
581,64.97150,45
582,64.98685,45
583,65.01305,45
584,65.02528,45
585,65.05303,45
586,65.05645,45
587,65.07410,45
588,65.08987,45
589,65.10209,45
590,65.11811,45
591,65.13578,45
592,65.15089,45
593,65.16727,45
594,65.18455,45
595,65.20026,45
596,65.21713,45
597,65.23327,45
598,65.24979,45
599,65.26614,45
600,65.28312,45
601,65.29884,45
602,65.31820,45
603,65.33156,45
604,65.34927,45
605,65.36499,45
606,65.38083,45
607,65.39735,45
608,65.41383,45
609,65.43012,45
610,65.44659,45
611,65.46298,45
612,65.47943,45
613,65.49590,45
614,65.51239,45
615,65.52868,45
616,65.54513,45
617,65.56217,45
618,65.57825,45
619,65.60038,45
620,65.61083,45
621,65.62745,45
622,65.64374,45
623,65.66012,45
624,65.67657,45
625,65.69302,45
626,65.70956,45
627,65.72588,45
628,65.74535,45
629,65.75871,45
630,65.77513,45
631,65.79157,45
632,65.80820,45
633,65.82443,45
634,65.84749,45
635,65.85734,45
636,65.87398,45
637,65.89090,45
638,65.90660,45
639,65.92322,45
640,65.93946,45
641,65.95602,45
642,65.97225,45
643,65.98877,45
644,66.00521,45
645,66.02266,45
646,66.03844,45
647,66.05446,45
648,66.07090,45
649,66.08746,45
650,66.10384,45
651,66.13055,45
652,66.13670,45
653,66.15306,45
654,66.17075,45
655,66.18595,45
656,66.20273,45
657,66.21873,45
658,66.23513,45
659,66.25503,45
660,66.26871,45
661,66.28459,45
662,66.30106,45
663,66.31733,45
664,66.33376,45
665,66.35280,45
666,66.36677,45
667,66.38300,45
668,66.40002,45
669,66.41666,45
670,66.43250,45
671,66.44926,45
672,66.46597,45
673,66.48172,45
674,66.49872,45
675,66.51447,45
676,66.53117,45
677,66.54734,45
678,66.56380,45
679,66.58031,45
680,66.59663,45
681,66.61308,45
682,66.62950,45
683,66.64597,45
684,66.66224,45
685,66.67876,45
686,66.69524,45
687,66.71156,45
688,66.72801,45
689,66.74445,45
690,66.76095,45
691,66.77731,45
692,66.79371,45
693,66.81230,45
694,66.82735,45
695,66.84303,45
696,66.87528,45
697,66.87804,45
698,66.89233,45
699,66.91088,45
700,66.92514,45
701,66.94158,45
702,66.95821,45
703,66.97453,45
704,66.99089,45
705,67.00733,45
706,67.02383,45
707,67.04020,45
708,67.05656,45
709,67.07298,45
710,67.08945,45
711,67.10590,45
712,67.12239,45
713,67.13870,45
714,67.15693,45
715,67.17171,45
716,67.20770,45
717,67.20987,45
718,67.22901,45
719,67.24289,45
720,67.2469,
721,67.25486,44
722,67.27197,44
723,67.28669,44
724,67.2954,
725,67.30341,45
726,67.3116,
727,67.31957,44
